lemma,part_of_speech,hyponyms
anaesthetic,noun,general anesthetic;intravenous anesthetic;local anesthetic;spinal anesthetic
analgesic,noun,acetaminophen;acetanilide;acetophenetidin;aminopyrine;aspirin;codeine;colchicine;fentanyl;hydromorphone hydrochloride;morphine;pentazocine;phenazopyridine;propoxyphene;sodium salicylate
analog,noun,echo
analogue,noun,echo
analyzed,verb,anatomize;assay;audit;check;compare;diagnose;diagnose;investigate;review;screen;sieve;survey;survey;trace;view|botanize;parse|factor analyse
anesthetic,noun,general anesthetic;intravenous anesthetic;local anesthetic;spinal anesthetic
angered,verb,combust;enrage;exacerbate;gall;infuriate;madden;miff;pique|bridle;raise the roof;steam
angled,verb,lean back;list;slope;weather|fly-fish;troll
anglo-saxon,noun,anglian;kentish;west saxon
angolan,noun,angolese
anguished,verb,agonize;break someone's heart;torment;try
animal,noun,acrodont;adult;biped;captive;chordate;creepy-crawly;critter;darter;domestic animal;embryo;feeder;female;fictional animal;game;giant;herbivore;hexapod;homeotherm;insectivore;invertebrate;larva;male;marine animal;mate;metazoan;migrator;molter;mutant;omnivore;peeper;pest;pet;pleurodont;poikilotherm;predator;prey;racer;range animal;scavenger;stayer;stunt;survivor;thoroughbred;varmint;work animal;young;zooplankton
animate,verb,encourage|jazz up;spirit
animated,verb,encourage|jazz up;spirit
animating,verb,encourage|jazz up;spirit
annelid,noun,archiannelid;leech;oligochaete;polychaete
announced,verb,advertise;blare out;call out;cry;denounce;meld;post;report;report;sound;trump|promulgate
annoyed,verb,antagonize;eat into;fret;get;harass;peeve;ruffle
annoying,noun,exasperation;red flag
annoying,verb,antagonize;eat into;fret;get;harass;peeve;ruffle
annual,noun,almanac;almanac;ephemeris
anodyne,noun,acetaminophen;acetanilide;acetophenetidin;aminopyrine;aspirin;codeine;colchicine;fentanyl;hydromorphone hydrochloride;morphine;pentazocine;phenazopyridine;propoxyphene;sodium salicylate
answering,verb,bridle;call back;counter;field;retort;sass|go a long way;go around;qualify;serve;tide over
antacid,noun,alka-seltzer;brioschi;bromo-seltzer;cimetidine;maalox;mylanta;omeprazole;pepto-bismal;ranitidine;rolaids;tums
antecedent,noun,ancestress;forebear;forefather;foremother;progenitor
anterior,noun,bucktooth
anthelminthic,noun,gentian violet;mebendazole;piperazine;quinacrine;tetrachlorethylene;thiabendazole
anthelmintic,noun,gentian violet;mebendazole;piperazine;quinacrine;tetrachlorethylene;thiabendazole
antiaircraft,noun,bofors gun
antibacterial,noun,antibiotic;azithromycin;dapsone;dicloxacillin;gentian violet;hexachlorophene;isoniazid;methenamine;nalidixic acid;neosporin;nitrofurantoin;rifampin;sulfa drug;tetracycline
antibiotic,noun,actinomycin;amphotericin;antimycin;antineoplastic antibiotic;aztreonam;bacitracin;carbomycin;cephaloglycin;cephaloridine;cephalosporin;chloramphenicol;chlortetracycline;ciprofloxacin;cycloserine;dihydrostreptomycin;doxorubicin;doxycycline;erythromycin;gentamicin;gramicidin;kanamycin;lincomycin;mitomycin;mycomycin;neomycin;novobiocin;nystatin;oxytetracycline;penicillin;polymyxin;primaxin;pyocyanase;pyocyanin;spectinomycin;streptomycin;streptothricin;subtilin;tobramycin;tyrocidine;tyrothricin;vancomycin;viomycin
antic,noun,dirty trick;practical joke
anticholinergic,noun,oxyphencyclimine
anticipated,verb,assume;believe;speculate;think|augur;bet;forecast;prophesy;read;second-guess|apprehend
antifungal,noun,bordeaux mixture;gentian violet;griseofulvin;iodochlorhydroxyquin;itraconazole;miconazole;nystatin;terbinafine;thiabendazole
antiknock,noun,tetraethyl lead
antimicrobial,noun,cetrimide;sodium hypochlorite
antimicrobic,noun,cetrimide;sodium hypochlorite
